request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,25256.0,affordable_now,full_payment,2024-03-03:25256,2024-03-03,none,"Pay ZAR 25,256.00 today. This leaves at least ZAR 23,980.76 available over the next 90 days."
request_02,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 46,018,000.00 request. None of the available options keeps the IDR 29,158,400.00 minimum protected."
request_03,1105932.05,affordable_later,wait,2019-10-14:5491000,2019-10-14,none,"Wait until 14 October 2019, then pay IDR 5,491,000.00 in full. Paying earlier would put the IDR 2,668,700.00 minimum at risk."
request_04,0,not_affordable,not_recommended,none,2024-07-14,none,"Do not proceed with the IDR 12,693,000.00 request. None of the available options keeps the IDR 30,686,600.00 minimum protected."
request_05,15488.0,affordable_now,full_payment,2025-11-06:15488,2025-11-06,none,"Pay ZAR 15,488.00 today. This leaves at least ZAR 25,910.56 available over the next 90 days."
request_06,595.09,affordable_later,wait,2026-01-14:620.4,2026-01-14,none,"Wait until 14 January 2026, then pay EUR 620.40 in full. Paying earlier would put the EUR 800.00 minimum at risk."
request_07,86617.54,affordable_with_plan,installments,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-10-14,none,"Use 3 installments, starting 12 September 2024. This leaves at least INR 108,110.36 available."
request_08,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 996.60 request. None of the available options keeps the EUR 800.00 minimum protected.
request_09,166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,"Pay EUR 166.61 today. This leaves at least EUR 2,231.10 available over the next 90 days."
request_10,0,not_affordable,not_recommended,none,2024-12-06,none,"Do not proceed with the INR 266,700.00 request. None of the available options keeps the INR 225,400.00 minimum protected."
request_11,9838190.38,affordable_later,wait,2025-05-15:13110000,2025-05-15,none,"Wait until 15 May 2025, then pay IDR 13,110,000.00 in full. Paying earlier would put the IDR 34,140,600.00 minimum at risk."
request_12,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 65,164.00 request. None of the available options keeps the ZAR 43,200.00 minimum protected."
request_13,941.6,affordable_now,full_payment,2024-03-07:941.6,2024-03-07,none,"Pay EUR 941.60 today. This leaves at least EUR 1,609.59 available over the next 90 days."
request_14,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 5,414.20 request. None of the available options keeps the EUR 2,200.00 minimum protected."
request_15,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,685.00 request. None of the available options keeps the EUR 1,200.00 minimum protected."
request_16,122500.0,affordable_now,full_payment,2023-08-12:122500,2023-08-12,none,"Pay INR 122,500.00 today. This leaves at least INR 239,870.00 available over the next 90 days."
request_17,212569.13,affordable_with_plan,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-15,none,"Use 3 installments, starting 01 March 2026. This leaves at least INR 283,474.46 available."
request_18,489.36,affordable_later,wait,2026-09-13:3246.1,2026-09-13,none,"Wait until 13 September 2026, then pay EUR 3,246.10 in full. Paying earlier would put the EUR 1,400.00 minimum at risk."
request_19,28836.9,affordable_with_plan,partial_payment,2024-09-04:28836.90|2024-09-14:10823.10,2024-09-14,none,"Pay the safe amount today and the remainder on 14 September 2024. This completes the full request and keeps the INR 92,800.00 minimum protected."
request_20,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 303,700.00 request. None of the available options keeps the INR 64,500.00 minimum protected."
request_21,1574.4,affordable_now,full_payment,2026-04-03:1574.4,2026-04-03,none,"Pay USD 1,574.40 today. This leaves at least USD 1,940.42 available over the next 90 days."
request_22,421.22,affordable_with_plan,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2024-12-15,none,"Use 3 installments, starting 08 December 2024. This leaves at least EUR 667.63 available."
request_23,9720.3,affordable_later,wait,2025-07-14:38016,2025-07-14,none,"Wait until 14 July 2025, then pay ZAR 38,016.00 in full. Paying earlier would put the ZAR 27,000.00 minimum at risk."
request_24,0,not_affordable,not_recommended,none,2026-03-15,none,"Do not proceed with the INR 109,600.00 request. None of the available options keeps the INR 51,000.00 minimum protected."
request_25,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 60,496,000.00 request. None of the available options keeps the IDR 23,379,100.00 minimum protected."
