request_id,user_id,predicted_status,expected_status,predicted_payment_method,expected_payment_method,predicted_safe_amount,expected_safe_amount,predicted_date,expected_date,error_category,root_cause
request_02,user_02,not_affordable,affordable_with_plan,not_recommended,installments,0,17229139.2,,2025-09-15,status_mismatch,
request_03,user_03,affordable_later,affordable_later,wait,wait,1105932.05,873000,2019-10-14,2019-11-15,date_mismatch,
request_04,user_04,not_affordable,affordable_later,not_recommended,wait,0,8401800,2024-07-14,2024-06-15,status_mismatch,
request_05,user_05,affordable_now,not_affordable,full_payment,not_recommended,15488.0,737,2025-11-06,,status_mismatch,
request_06,user_06,affordable_later,affordable_with_plan,wait,full_payment,595.09,603.3,2026-01-14,2026-01-15,status_mismatch,
request_07,user_07,affordable_with_plan,affordable_with_plan,installments,installments,86617.54,87170.56,2024-10-14,2024-10-23,date_mismatch,
request_08,user_08,not_affordable,affordable_later,not_recommended,wait,0,284.57,,2025-04-15,status_mismatch,
request_10,user_10,not_affordable,not_affordable,not_recommended,not_recommended,0,12700,2024-12-06,,date_mismatch,
request_11,user_11,affordable_later,affordable_with_plan,wait,full_payment,9838190.38,12510645,2025-05-15,2025-07-15,status_mismatch,
request_12,user_12,not_affordable,affordable_with_plan,not_recommended,installments,0,65164,,2026-04-05,status_mismatch,
request_13,user_13,affordable_now,affordable_later,full_payment,wait,941.6,433.4,2024-03-07,2024-05-15,status_mismatch,
request_18,user_18,affordable_later,affordable_later,wait,wait,489.36,462,2026-09-13,2026-09-15,date_mismatch,
request_19,user_19,affordable_with_plan,affordable_with_plan,partial_payment,partial_payment,28836.9,28820,2024-09-14,2024-09-15,date_mismatch,
request_21,user_21,affordable_now,affordable_with_plan,full_payment,full_payment,1574.4,1543.35,2026-04-03,2026-04-15,status_mismatch,
request_22,user_22,affordable_with_plan,affordable_with_plan,installments,installments,421.22,475.46,2024-12-15,2025-01-15,date_mismatch,
request_23,user_23,affordable_later,affordable_later,wait,wait,9720.3,9152,2025-07-14,2025-07-15,date_mismatch,
request_24,user_24,not_affordable,not_affordable,not_recommended,not_recommended,0,13420,2026-03-15,,date_mismatch,
