request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 25,256.00 request. None of the available options keeps the ZAR 18,000.00 minimum protected."
request_02,20785049.55,affordable_with_plan,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-09-15,none,"Use 3 installments, starting 08 August 2025. This leaves at least IDR 33,990,542.88 available."
request_03,1320199.03,affordable_later,wait,2019-10-15:5491000,2019-10-15,none,"Wait until 15 October 2019, then pay IDR 5,491,000.00 in full. Paying earlier would put the IDR 2,668,700.00 minimum at risk."
request_04,8660199.67,affordable_later,wait,2024-06-15:12693000,2024-06-15,none,"Wait until 15 June 2024, then pay IDR 12,693,000.00 in full. Paying earlier would put the IDR 30,686,600.00 minimum at risk."
request_05,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 15,488.00 request. None of the available options keeps the ZAR 13,100.00 minimum protected."
request_06,0,not_affordable,not_recommended,none,2026-01-15,none,Do not proceed with the EUR 620.40 request. None of the available options keeps the EUR 800.00 minimum protected.
request_07,99307.07,affordable_with_plan,installments,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-10-15,none,"Use 3 installments, starting 12 September 2024. This leaves at least INR 123,875.07 available."
request_08,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 996.60 request. None of the available options keeps the EUR 800.00 minimum protected.
request_09,166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,"Pay EUR 166.61 today. This leaves at least EUR 2,231.10 available over the next 90 days."
request_10,0,not_affordable,not_recommended,none,2024-12-06,none,"Do not proceed with the INR 266,700.00 request. None of the available options keeps the INR 225,400.00 minimum protected."
request_11,13110000.0,affordable_now,full_payment,2025-05-03:13110000,2025-05-03,none,"Pay IDR 13,110,000.00 today. This leaves at least IDR 34,537,609.53 available over the next 90 days."
request_12,65164.0,affordable_with_plan,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,none,"Use 3 installments, starting 19 April 2026. This leaves at least ZAR 54,304.47 available."
request_13,941.6,affordable_now,full_payment,2024-03-07:941.6,2024-03-07,none,"Pay EUR 941.60 today. This leaves at least EUR 1,559.54 available over the next 90 days."
request_14,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 5,414.20 request. None of the available options keeps the EUR 2,200.00 minimum protected."
request_15,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,685.00 request. None of the available options keeps the EUR 1,200.00 minimum protected."
request_16,122500.0,affordable_now,full_payment,2023-08-12:122500,2023-08-12,none,"Pay INR 122,500.00 today. This leaves at least INR 210,431.81 available over the next 90 days."
request_17,256499.62,affordable_with_plan,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-15,none,"Use 3 installments, starting 01 March 2026. This leaves at least INR 266,527.15 available."
request_18,658.32,affordable_later,wait,2026-08-15:3246.1,2026-08-15,none,"Wait until 15 August 2026, then pay EUR 3,246.10 in full. Paying earlier would put the EUR 1,400.00 minimum at risk."
request_19,23912.32,affordable_with_plan,partial_payment,2024-09-04:23912.32|2024-09-15:15747.68,2024-09-15,none,"Pay the safe amount today and the remainder on 15 September 2024. This completes the full request and keeps the INR 92,800.00 minimum protected."
request_20,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 303,700.00 request. None of the available options keeps the INR 64,500.00 minimum protected."
request_21,1574.4,affordable_now,full_payment,2026-04-03:1574.4,2026-04-03,none,"Pay USD 1,574.40 today. This leaves at least USD 2,028.49 available over the next 90 days."
request_22,512.53,affordable_with_plan,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2024-12-15,none,"Use 3 installments, starting 08 December 2024. This leaves at least EUR 758.94 available."
request_23,12514.62,affordable_later,wait,2025-07-15:38016,2025-07-15,none,"Wait until 15 July 2025, then pay ZAR 38,016.00 in full. Paying earlier would put the ZAR 27,000.00 minimum at risk."
request_24,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 109,600.00 request. None of the available options keeps the INR 51,000.00 minimum protected."
request_25,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 60,496,000.00 request. None of the available options keeps the IDR 23,379,100.00 minimum protected."
