request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000.00 today. This leaves at least IDR 85,189,250.00 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670.00 today. This leaves at least ZAR 87,008.99 available over the next 90 days."
request_28,0,affordable_later,wait,2024-07-14:1302.4,2024-07-14,none,"Wait until 14 July 2024, then pay EUR 1,302.40 in full. Paying earlier would put the EUR 1,100.00 minimum at risk."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay ZAR 51,524.00 today. This leaves at least ZAR 46,475.39 available over the next 90 days."
request_30,0,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments, starting 06 April 2026. This leaves at least USD 3,340.91 available."
request_31,0,affordable_later,wait,2024-09-14:18164000,2024-09-14,none,"Wait until 14 September 2024, then pay IDR 18,164,000.00 in full. Paying earlier would put the IDR 16,588,900.00 minimum at risk."
request_32,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 40,018.00 request. None of the available options keeps the ZAR 35,700.00 minimum protected."
request_33,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 118,000.00 request. None of the available options keeps the INR 102,100.00 minimum protected."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400.00 today. This leaves at least INR 426,562.59 available over the next 90 days."
request_35,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 212,000.00 request. None of the available options keeps the INR 106,400.00 minimum protected."
request_36,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,954.00 request. None of the available options keeps the USD 2,400.00 minimum protected."
request_37,0,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Wait until 15 May 2024, then pay IDR 14,649,000.00 in full. Paying earlier would put the IDR 17,056,200.00 minimum at risk."
request_38,0,affordable_later,wait,2025-10-13:971.3,2025-10-13,none,"Wait until 13 October 2025, then pay EUR 971.30 in full. Paying earlier would put the EUR 400.00 minimum at risk."
request_39,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 208,600.00 request. None of the available options keeps the INR 213,400.00 minimum protected."
